,0,1,2,3
2,pc,train,shd_dir,2
3,pc,train,shd_undir,2
4,pc,val,shd_dir,8
5,pc,val,shd_undir,2
6,pc,test,shd_dir,8
7,pc,test,shd_undir,4
8,lingam,train,shd_dir,10
9,lingam,train,shd_undir,4
10,lingam,val,shd_dir,10
11,lingam,val,shd_undir,4
12,lingam,test,shd_dir,14
13,lingam,test,shd_undir,4
14,ges,train,shd_dir,3
15,ges,train,shd_undir,1
16,ges,val,shd_dir,3
17,ges,val,shd_undir,1
18,ges,test,shd_dir,3
19,ges,test,shd_undir,1
21,pc,train,shd_dir,8
22,pc,train,shd_undir,2
23,pc,val,shd_dir,8
24,pc,val,shd_undir,2
25,pc,test,shd_dir,8
26,pc,test,shd_undir,2
27,lingam,train,shd_dir,12
28,lingam,train,shd_undir,4
29,lingam,val,shd_dir,16
30,lingam,val,shd_undir,4
31,lingam,test,shd_dir,16
32,lingam,test,shd_undir,2
33,ges,train,shd_dir,3
34,ges,train,shd_undir,1
35,ges,val,shd_dir,6
36,ges,val,shd_undir,1
37,ges,test,shd_dir,8
38,ges,test,shd_undir,8
40,pc,train,shd_dir,2
41,pc,train,shd_undir,2
42,pc,val,shd_dir,3
43,pc,val,shd_undir,3
44,pc,test,shd_dir,8
45,pc,test,shd_undir,2
46,lingam,train,shd_dir,17
47,lingam,train,shd_undir,9
48,lingam,val,shd_dir,17
49,lingam,val,shd_undir,9
50,lingam,test,shd_dir,12
51,lingam,test,shd_undir,4
52,ges,train,shd_dir,3
53,ges,train,shd_undir,1
54,ges,val,shd_dir,8
55,ges,val,shd_undir,3
56,ges,test,shd_dir,3
57,ges,test,shd_undir,1
59,pc,train,shd_dir,8
60,pc,train,shd_undir,2
61,pc,val,shd_dir,8
62,pc,val,shd_undir,2
63,pc,test,shd_dir,8
64,pc,test,shd_undir,2
65,lingam,train,shd_dir,10
66,lingam,train,shd_undir,4
67,lingam,val,shd_dir,15
68,lingam,val,shd_undir,1
69,lingam,test,shd_dir,8
70,lingam,test,shd_undir,6
71,ges,train,shd_dir,4
72,ges,train,shd_undir,1
73,ges,val,shd_dir,7
74,ges,val,shd_undir,3
75,ges,test,shd_dir,3
76,ges,test,shd_undir,1
78,pc,train,shd_dir,5
79,pc,train,shd_undir,1
80,pc,val,shd_dir,8
81,pc,val,shd_undir,2
82,pc,test,shd_dir,3
83,pc,test,shd_undir,3
84,lingam,train,shd_dir,11
85,lingam,train,shd_undir,3
86,lingam,val,shd_dir,14
87,lingam,val,shd_undir,4
88,lingam,test,shd_dir,12
89,lingam,test,shd_undir,2
90,ges,train,shd_dir,3
91,ges,train,shd_undir,0
92,ges,val,shd_dir,3
93,ges,val,shd_undir,1
94,ges,test,shd_dir,5
95,ges,test,shd_undir,4
96,cancer,,,
,,,,
,,,,
97,Run - 1,,,
98,pc,train,shd_dir,4
99,pc,train,shd_undir,0
100,pc,val,shd_dir,4
101,pc,val,shd_undir,2
102,pc,test,shd_dir,4
103,pc,test,shd_undir,2
104,lingam,train,shd_dir,5
105,lingam,train,shd_undir,1
106,lingam,val,shd_dir,4
107,lingam,val,shd_undir,2
108,lingam,test,shd_dir,4
109,lingam,test,shd_undir,2
110,ges,train,shd_dir,3
111,ges,train,shd_undir,1
112,ges,val,shd_dir,4
113,ges,val,shd_undir,2
114,ges,test,shd_dir,4
115,ges,test,shd_undir,2
117,pc,train,shd_dir,5
118,pc,train,shd_undir,1
119,pc,val,shd_dir,4
120,pc,val,shd_undir,2
121,pc,test,shd_dir,4
122,pc,test,shd_undir,2
123,lingam,train,shd_dir,5
124,lingam,train,shd_undir,1
125,lingam,val,shd_dir,5
126,lingam,val,shd_undir,1
127,lingam,test,shd_dir,5
128,lingam,test,shd_undir,1
129,ges,train,shd_dir,4
130,ges,train,shd_undir,1
131,ges,val,shd_dir,3
132,ges,val,shd_undir,1
133,ges,test,shd_dir,3
134,ges,test,shd_undir,1
136,pc,train,shd_dir,5
137,pc,train,shd_undir,1
138,pc,val,shd_dir,4
139,pc,val,shd_undir,2
140,pc,test,shd_dir,4
141,pc,test,shd_undir,2
142,lingam,train,shd_dir,5
143,lingam,train,shd_undir,1
144,lingam,val,shd_dir,5
145,lingam,val,shd_undir,1
146,lingam,test,shd_dir,5
147,lingam,test,shd_undir,1
148,ges,train,shd_dir,4
149,ges,train,shd_undir,1
150,ges,val,shd_dir,4
151,ges,val,shd_undir,2
152,ges,test,shd_dir,3
153,ges,test,shd_undir,1
155,pc,train,shd_dir,4
156,pc,train,shd_undir,0
157,pc,val,shd_dir,4
158,pc,val,shd_undir,2
159,pc,test,shd_dir,5
160,pc,test,shd_undir,1
161,lingam,train,shd_dir,5
162,lingam,train,shd_undir,1
163,lingam,val,shd_dir,5
164,lingam,val,shd_undir,1
165,lingam,test,shd_dir,5
166,lingam,test,shd_undir,1
167,ges,train,shd_dir,2
168,ges,train,shd_undir,0
169,ges,val,shd_dir,3
170,ges,val,shd_undir,1
171,ges,test,shd_dir,7
172,ges,test,shd_undir,1
174,pc,train,shd_dir,4
175,pc,train,shd_undir,0
176,pc,val,shd_dir,5
177,pc,val,shd_undir,3
178,pc,test,shd_dir,4
179,pc,test,shd_undir,2
180,lingam,train,shd_dir,5
181,lingam,train,shd_undir,1
182,lingam,val,shd_dir,6
183,lingam,val,shd_undir,2
184,lingam,test,shd_dir,5
185,lingam,test,shd_undir,1
186,ges,train,shd_dir,2
187,ges,train,shd_undir,0
188,ges,val,shd_dir,3
189,ges,val,shd_undir,1
190,ges,test,shd_dir,3
191,ges,test,shd_undir,1
192,child,,,
193,Run - 1,,,
194,pc,train,shd_dir,23
195,pc,train,shd_undir,9
196,pc,val,shd_dir,22
197,pc,val,shd_undir,8
198,pc,test,shd_dir,18
199,pc,test,shd_undir,8
200,lingam,train,shd_dir,50
201,lingam,train,shd_undir,32
202,lingam,val,shd_dir,41
203,lingam,val,shd_undir,29
204,lingam,test,shd_dir,39
205,lingam,test,shd_undir,25
206,ges,train,shd_dir,32
207,ges,train,shd_undir,20
208,ges,val,shd_dir,34
209,ges,val,shd_undir,11
210,ges,test,shd_dir,30
211,ges,test,shd_undir,11
213,pc,train,shd_dir,20
214,pc,train,shd_undir,8
215,pc,val,shd_dir,18
216,pc,val,shd_undir,6
217,pc,test,shd_dir,21
218,pc,test,shd_undir,9
219,lingam,train,shd_dir,44
220,lingam,train,shd_undir,30
221,lingam,val,shd_dir,35
222,lingam,val,shd_undir,23
223,lingam,test,shd_dir,37
224,lingam,test,shd_undir,27
225,ges,train,shd_dir,29
226,ges,train,shd_undir,18
227,ges,val,shd_dir,33
228,ges,val,shd_undir,12
229,ges,test,shd_dir,24
230,ges,test,shd_undir,13
232,pc,train,shd_dir,21
233,pc,train,shd_undir,7
234,pc,val,shd_dir,15
235,pc,val,shd_undir,9
236,pc,test,shd_dir,18
237,pc,test,shd_undir,8
238,lingam,train,shd_dir,48
239,lingam,train,shd_undir,32
240,lingam,val,shd_dir,41
241,lingam,val,shd_undir,25
242,lingam,test,shd_dir,39
243,lingam,test,shd_undir,23
244,ges,train,shd_dir,38
245,ges,train,shd_undir,20
246,ges,val,shd_dir,31
247,ges,val,shd_undir,11
248,ges,test,shd_dir,28
249,ges,test,shd_undir,15
251,pc,train,shd_dir,23
252,pc,train,shd_undir,11
253,pc,val,shd_dir,18
254,pc,val,shd_undir,6
255,pc,test,shd_dir,24
256,pc,test,shd_undir,6
257,lingam,train,shd_dir,51
258,lingam,train,shd_undir,37
259,lingam,val,shd_dir,44
260,lingam,val,shd_undir,28
261,lingam,test,shd_dir,42
262,lingam,test,shd_undir,30
263,ges,train,shd_dir,30
264,ges,train,shd_undir,19
265,ges,val,shd_dir,30
266,ges,val,shd_undir,11
267,ges,test,shd_dir,38
268,ges,test,shd_undir,12
270,pc,train,shd_dir,24
271,pc,train,shd_undir,8
272,pc,val,shd_dir,19
